Các tỉnh thành,Tốc độ phát triển,GDP bình quân,Tỷ lệ đi học,Mật độ dân số,Dân số trung bình,Tỷ lệ giới tính,Tỷ lệ gia tăng dân số,Lực lương lao động từ 15 tuổi trở lên,Tỷ lệ bác sỹ/10000 dân,Tỷ lệ hộ nghèo,Vùng,Năm
Hà Giang,3.4,19.23,39,86,720,99.7,1.87,455.4,3.93,45.8,Trung du và miền núi phía Bắc,2006
Hà Giang,3.9,19.67,38,88,723,99.4,2.02,456.3,3.87,43.4,Trung du và miền núi phía Bắc,2007
Hà Giang,2.7,21.22,40,89,734,99.5,1.96,459.4,4.21,40.6,Trung du và miền núi phía Bắc,2008
Hà Giang,3.3,22.6,41,87,741,99.3,1.98,460.1,4.56,39.7,Trung du và miền núi phía Bắc,2009
Hà Giang,3.2,22.9,42,90,743,99.6,1.77,462.4,4.98,39.4,Trung du và miền núi phía Bắc,2010
Hà Giang,4.3,23.11,43,94.3,746.6,99.8,1.75,467.7,5.45,39.21,Trung du và miền núi phía Bắc,2011
Hà Giang,4.5,24.5,42,96.2,761.6,99.9,2.01,463.4,6.21,35.41,Trung du và miền núi phía Bắc,2012
Hà Giang,3.21,22.05,45,98,775.8,100.6,1.86,499.1,6.43,31.22,Trung du và miền núi phía Bắc,2013
Hà Giang,4.5,23.12,51,100,788.8,100.4,1.68,505.3,7.1,30.11,Trung du và miền núi phía Bắc,2014
Hà Giang,5.7,25,49,101,802,101.4,1.64,512.1,7.21,29.21,Trung du và miền núi phía Bắc,2015
Hà Giang,4.6,27.11,50,103,816.1,101.4,2.32,524.8,7.65,27.89,Trung du và miền núi phía Bắc,2016
Hà Giang,6.2,28.1,66,105,833.5,101.6,1.62,514.8,8.47,27.44,Trung du và miền núi phía Bắc,2017
Hà Giang,5.62,28.56,65,107,846.5,101.9,1.54,532.8,8.54,26.35,Trung du và miền núi phía Bắc,2018
Hà Giang,4.21,29,76,108,858.1,102.14,1.37,533,9,23.17,Trung du và miền núi phía Bắc,2019
Hà Giang,5.02,29.91,78,110,870.2,102.1,1.42,529.36,9.82,20.23,Trung du và miền núi phía Bắc,2020
Hà Giang,5.06,30.09,80,111,872.4,102.45,1.4,530,10.01,18.45,Trung du và miền núi phía Bắc,2021
Hà giang,5.52,31.22,81,111,873.06,103,1.42,531.23,10.38,18.11,Trung du và miền núi phía Bắc,2022
